,avg_dist,avg_rating_by_driver,avg_rating_of_driver,avg_surge,phone,surge_pct,trips_in_first_30_days,luxury_car_user,weekday_pct,active,city_0,city_1,city_2,date_delta,month signup_date,month last_trip_date
0,3.67,5.0,4.7,1.1,1.0,15.4,4,True,46.2,1,0.0,1.0,0.0,143 days,1,6
1,8.26,5.0,5.0,1.0,0.0,0.0,0,False,50.0,0,1.0,0.0,0.0,96 days,1,5
2,0.77,5.0,4.3,1.0,1.0,0.0,3,False,100.0,0,1.0,0.0,0.0,1 days,1,1
3,2.36,4.9,4.6,1.14,1.0,20.0,9,True,80.0,1,0.0,1.0,0.0,170 days,1,6
4,3.13,4.9,4.4,1.19,0.0,11.8,14,False,82.4,0,0.0,0.0,1.0,47 days,1,3
5,10.56,5.0,3.5,1.0,1.0,0.0,2,True,100.0,1,0.0,0.0,1.0,148 days,1,6
6,3.95,4.0,4.601559291274655,1.0,0.0,0.0,1,False,100.0,0,1.0,0.0,0.0,1 days,1,1
7,2.04,5.0,5.0,1.0,1.0,0.0,2,False,100.0,0,0.0,0.0,1.0,1 days,1,1
8,4.36,5.0,4.5,1.0,0.0,0.0,2,False,100.0,0,0.0,0.0,1.0,11 days,1,2
9,2.37,5.0,4.601559291274655,1.0,0.0,0.0,1,False,0.0,0,0.0,0.0,1.0,2 days,1,1
10,4.28,4.9,5.0,1.0,1.0,0.0,1,True,100.0,0,0.0,0.0,1.0,137 days,1,5
11,3.81,5.0,4.0,1.0,1.0,0.0,3,False,100.0,0,0.0,0.0,1.0,4 days,1,1
12,20.29,5.0,4.601559291274655,1.0,1.0,0.0,1,False,100.0,0,0.0,0.0,1.0,56 days,1,3
13,3.04,5.0,4.0,1.38,1.0,50.0,0,False,50.0,1,0.0,1.0,0.0,130 days,1,6
14,26.01,5.0,4.601559291274655,1.0,0.0,0.0,1,False,100.0,0,1.0,0.0,0.0,1 days,1,1
15,13.2,5.0,4.601559291274655,1.0,0.0,0.0,1,True,100.0,0,0.0,0.0,1.0,1 days,1,1
16,10.86,3.0,5.0,1.0,0.0,0.0,1,True,50.0,1,0.0,1.0,0.0,168 days,1,6
17,2.38,4.8,3.9,1.0,1.0,0.0,0,True,95.2,1,0.0,1.0,0.0,170 days,1,7
18,6.83,4.8,4.6,1.21,1.0,30.8,6,True,80.8,1,0.0,1.0,0.0,147 days,1,6
19,12.08,5.0,5.0,1.17,1.0,33.3,0,False,66.7,1,0.0,1.0,0.0,152 days,1,6
20,2.53,3.0,4.601559291274655,1.0,0.0,0.0,1,False,50.0,0,0.0,0.0,1.0,44 days,1,3
21,3.31,5.0,4.601559291274655,1.0,1.0,0.0,1,False,100.0,0,1.0,0.0,0.0,110 days,1,4
22,11.47,5.0,4.601559291274655,1.0,1.0,0.0,0,False,100.0,0,0.0,0.0,1.0,98 days,1,5
23,7.74,5.0,5.0,1.0,0.0,0.0,0,True,100.0,1,0.0,1.0,0.0,143 days,1,6
24,2.1,4.7,4.5,1.02,1.0,9.1,4,False,36.4,0,1.0,0.0,0.0,119 days,1,5
25,14.48,5.0,4.601559291274655,1.0,1.0,0.0,1,True,100.0,0,0.0,0.0,1.0,1 days,1,1
26,1.66,5.0,4.0,1.0,0.0,0.0,1,False,100.0,0,1.0,0.0,0.0,6 days,1,1
27,3.05,5.0,5.0,1.05,1.0,20.0,3,False,100.0,0,0.0,0.0,1.0,45 days,1,3
28,5.97,5.0,4.601559291274655,1.5,1.0,100.0,0,False,0.0,1,0.0,0.0,1.0,140 days,1,6
29,11.25,5.0,4.0,1.0,0.0,0.0,1,False,100.0,0,1.0,0.0,0.0,31 days,1,2
30,6.12,4.8,5.0,1.0,1.0,0.0,4,True,25.0,0,1.0,0.0,0.0,12 days,1,2
31,11.86,5.0,4.9,1.0,1.0,0.0,1,False,40.0,1,0.0,0.0,1.0,140 days,1,6
32,10.01,5.0,4.0,2.0,1.0,100.0,1,False,100.0,1,0.0,0.0,1.0,156 days,1,6
33,4.48,5.0,4.601559291274655,1.0,1.0,0.0,1,True,100.0,0,0.0,0.0,1.0,32 days,1,2
34,4.12,5.0,4.601559291274655,1.25,0.0,100.0,1,False,100.0,0,1.0,0.0,0.0,1 days,1,1
35,14.16,5.0,5.0,1.0,0.0,0.0,2,False,100.0,0,0.0,1.0,0.0,35 days,1,2
36,2.43,4.5,4.601559291274655,1.0,1.0,0.0,2,False,50.0,1,1.0,0.0,0.0,155 days,1,6
37,1.38,5.0,4.0,1.0,1.0,0.0,0,False,50.0,0,1.0,0.0,0.0,114 days,1,4
38,4.69,4.8,4.9,1.04,1.0,5.8,24,True,61.6,1,0.0,1.0,0.0,159 days,1,6
39,13.73,5.0,4.601559291274655,1.0,1.0,0.0,1,True,100.0,1,0.0,1.0,0.0,165 days,1,6
40,0.83,5.0,4.0,1.0,1.0,0.0,2,False,50.0,0,0.0,0.0,1.0,1 days,1,2
41,3.8,5.0,4.0,1.88,1.0,50.0,0,False,0.0,0,0.0,0.0,1.0,112 days,1,5
42,5.72,5.0,4.0,1.5,0.0,100.0,1,False,0.0,0,0.0,0.0,1.0,1 days,1,1
43,16.52,5.0,4.5,1.0,1.0,0.0,1,False,50.0,0,0.0,0.0,1.0,63 days,1,3
44,1.4,5.0,5.0,1.0,1.0,0.0,2,True,66.7,1,0.0,1.0,0.0,147 days,1,6
45,3.0,4.2,4.0,1.0,0.0,0.0,3,False,50.0,0,1.0,0.0,0.0,99 days,1,4
46,2.93,5.0,5.0,1.33,1.0,33.3,6,False,100.0,0,1.0,0.0,0.0,2 days,1,1
47,3.61,5.0,5.0,1.25,1.0,100.0,1,False,0.0,0,0.0,0.0,1.0,1 days,1,1
48,1.75,4.8,4.8,1.0,1.0,0.0,4,False,100.0,0,0.0,0.0,1.0,24 days,1,1
49,10.54,4.7,4.4,1.0,1.0,0.0,2,False,71.4,1,0.0,0.0,1.0,166 days,1,6
50,3.25,5.0,5.0,1.25,0.0,100.0,0,False,0.0,0,0.0,0.0,1.0,42 days,1,2
51,3.24,5.0,4.5,1.0,0.0,0.0,4,False,52.4,0,0.0,0.0,1.0,120 days,1,5
52,4.98,5.0,5.0,1.0,1.0,0.0,0,False,80.0,0,0.0,0.0,1.0,140 days,1,6
53,3.15,4.8,4.4,1.56,1.0,22.2,6,True,22.2,0,1.0,0.0,0.0,119 days,1,5
54,4.94,5.0,3.5,1.5,1.0,50.0,2,False,50.0,1,0.0,0.0,1.0,156 days,1,6
55,36.01,5.0,4.0,1.0,1.0,0.0,1,False,100.0,0,0.0,0.0,1.0,13 days,1,1
56,23.49,5.0,2.5,1.0,0.0,0.0,1,False,100.0,0,1.0,0.0,0.0,110 days,1,4
57,10.21,5.0,4.3,1.0,0.0,0.0,0,False,66.7,0,1.0,0.0,0.0,38 days,1,3
58,2.6,5.0,5.0,1.0,1.0,0.0,0,False,40.0,0,1.0,0.0,0.0,105 days,1,4
59,6.05,4.5,5.0,1.25,1.0,100.0,1,False,0.0,0,1.0,0.0,0.0,63 days,1,3
60,3.01,5.0,4.601559291274655,1.0,1.0,0.0,1,True,0.0,0,1.0,0.0,0.0,1 days,1,1
61,4.66,5.0,4.601559291274655,1.0,1.0,0.0,1,False,0.0,0,1.0,0.0,0.0,2 days,1,2
62,4.81,4.8,4.5,1.06,1.0,25.0,0,False,75.0,0,0.0,1.0,0.0,99 days,1,5
63,2.21,4.8,4.8,1.03,1.0,5.4,3,False,54.1,1,1.0,0.0,0.0,151 days,1,6
64,6.12,5.0,4.601559291274655,1.17,0.0,33.3,1,False,66.7,0,1.0,0.0,0.0,113 days,1,5
65,10.37,5.0,5.0,1.0,1.0,0.0,1,False,75.0,0,0.0,0.0,1.0,58 days,1,3
66,2.42,5.0,5.0,1.0,1.0,0.0,1,True,100.0,0,0.0,0.0,1.0,21 days,1,1
67,1.89,5.0,5.0,1.0,0.0,0.0,0,False,100.0,1,0.0,0.0,1.0,146 days,1,6
68,4.44,5.0,5.0,1.0,1.0,0.0,0,True,0.0,1,0.0,1.0,0.0,165 days,1,6
69,2.61,4.8,3.9,1.09,1.0,10.5,5,True,63.2,1,1.0,0.0,0.0,150 days,1,6
70,4.46,5.0,5.0,1.0,1.0,0.0,0,False,100.0,0,1.0,0.0,0.0,105 days,1,4
71,1.02,5.0,5.0,1.0,0.0,0.0,1,False,100.0,0,1.0,0.0,0.0,0 days,1,1
72,0.0,3.0,5.0,1.0,1.0,0.0,1,False,100.0,0,1.0,0.0,0.0,1 days,1,1
73,37.11,5.0,5.0,1.0,1.0,0.0,2,False,0.0,0,1.0,0.0,0.0,6 days,1,1
74,2.3,4.9,5.0,1.35,1.0,36.0,7,False,84.0,1,0.0,1.0,0.0,137 days,1,6
75,1.45,4.0,5.0,1.0,0.0,0.0,0,False,0.0,0,0.0,0.0,1.0,96 days,1,4
76,2.47,5.0,4.8,1.0,1.0,0.0,5,False,100.0,0,1.0,0.0,0.0,4 days,1,1
77,19.8,5.0,4.601559291274655,1.0,1.0,0.0,0,False,100.0,0,1.0,0.0,0.0,33 days,1,2
78,1.82,4.0,5.0,1.0,1.0,0.0,1,False,0.0,0,0.0,0.0,1.0,87 days,1,4
79,10.49,5.0,5.0,1.0,0.0,0.0,0,True,66.7,0,1.0,0.0,0.0,129 days,1,6
80,3.99,5.0,4.0,1.5,1.0,25.0,0,False,50.0,0,1.0,0.0,0.0,111 days,1,5
81,17.89,4.0,4.0,3.5,0.0,100.0,1,True,100.0,0,0.0,0.0,1.0,11 days,1,2
82,4.61,4.8,4.0,1.11,1.0,18.2,1,True,81.8,1,0.0,0.0,1.0,165 days,1,6
83,2.6,4.7,4.8,1.03,1.0,5.3,7,False,63.2,1,0.0,1.0,0.0,177 days,1,6
84,5.01,5.0,4.0,1.0,1.0,0.0,0,True,100.0,1,1.0,0.0,0.0,172 days,1,6
85,2.42,4.8,5.0,1.0,1.0,0.0,4,False,100.0,0,0.0,0.0,1.0,91 days,1,4
86,3.55,4.9,4.7,1.17,1.0,25.0,9,True,66.7,0,0.0,1.0,0.0,125 days,1,5
87,3.06,4.7,5.0,1.0,1.0,0.0,6,True,67.6,1,0.0,0.0,1.0,159 days,1,7
88,3.3,4.8,5.0,1.0,1.0,0.0,3,False,42.9,1,0.0,1.0,0.0,175 days,1,6
89,4.67,5.0,5.0,1.0,1.0,0.0,0,True,0.0,0,1.0,0.0,0.0,119 days,1,5
90,6.28,4.77815819594771,5.0,1.0,1.0,0.0,1,False,0.0,0,0.0,0.0,1.0,30 days,1,2
91,10.83,5.0,5.0,1.0,0.0,0.0,3,True,50.0,1,1.0,0.0,0.0,159 days,1,6
92,1.55,4.5,3.7,1.0,1.0,0.0,7,False,55.2,1,0.0,0.0,1.0,176 days,1,6
93,1.13,4.4,4.0,1.0,0.0,0.0,5,False,80.0,0,0.0,0.0,1.0,143 days,1,5
94,23.34,4.0,1.0,1.0,1.0,0.0,1,True,0.0,0,1.0,0.0,0.0,1 days,1,1
95,1.35,4.0,4.601559291274655,1.0,1.0,0.0,1,True,100.0,0,1.0,0.0,0.0,0 days,1,1
96,4.89,4.6,4.1,1.0,1.0,1.9,11,True,76.9,1,0.0,0.0,1.0,156 days,1,7
97,5.36,5.0,5.0,1.0,0.0,0.0,4,True,75.0,0,1.0,0.0,0.0,4 days,1,1
98,4.2,5.0,4.3,1.02,1.0,10.0,1,False,90.0,1,0.0,1.0,0.0,152 days,1,6
99,2.86,4.9,4.9,1.0,0.0,0.0,73,True,89.7,0,1.0,0.0,0.0,37 days,1,3
100,8.3,5.0,4.601559291274655,1.0,1.0,0.0,0,False,100.0,1,1.0,0.0,0.0,136 days,1,6
101,6.08,5.0,5.0,1.17,0.0,16.7,1,False,33.3,0,1.0,0.0,0.0,127 days,1,5
102,2.15,4.9,4.2,1.0,1.0,0.0,8,True,50.0,1,0.0,1.0,0.0,145 days,1,6
103,6.86,4.9,4.4,1.0,1.0,0.0,2,True,50.0,1,0.0,0.0,1.0,143 days,1,6
104,4.08,4.9,3.0,1.0,1.0,0.0,3,True,63.6,1,0.0,0.0,1.0,178 days,1,6
105,4.99,5.0,5.0,1.0,0.0,0.0,0,False,0.0,1,0.0,0.0,1.0,154 days,1,6
106,1.63,5.0,4.601559291274655,1.0,0.0,0.0,0,False,0.0,0,1.0,0.0,0.0,92 days,1,4
107,10.79,4.9,4.9,1.09,1.0,15.9,14,False,50.0,1,0.0,1.0,0.0,173 days,1,6
108,9.14,5.0,3.0,1.0,1.0,0.0,1,False,100.0,0,1.0,0.0,0.0,5 days,1,1
109,3.07,5.0,4.601559291274655,1.0,0.0,0.0,1,False,66.7,0,1.0,0.0,0.0,85 days,1,4
110,5.25,5.0,5.0,1.0,1.0,0.0,2,True,50.0,1,1.0,0.0,0.0,137 days,1,6
111,3.81,5.0,4.7,1.0,1.0,0.0,1,True,100.0,1,0.0,1.0,0.0,159 days,1,6
112,2.65,5.0,4.8,1.0,1.0,0.0,1,True,36.4,1,1.0,0.0,0.0,171 days,1,6
113,10.29,3.7,5.0,1.0,0.0,0.0,1,False,33.3,0,0.0,0.0,1.0,87 days,1,3
114,12.32,4.7,4.4,1.05,0.0,9.1,1,False,63.6,1,0.0,0.0,1.0,171 days,1,6
115,1.16,4.3,4.0,1.0,1.0,0.0,0,False,100.0,0,1.0,0.0,0.0,92 days,1,4
116,0.0,5.0,5.0,1.0,0.0,0.0,1,False,100.0,0,0.0,0.0,1.0,1 days,1,1
117,2.64,5.0,2.5,1.63,1.0,50.0,1,False,100.0,0,1.0,0.0,0.0,97 days,1,4
118,16.85,5.0,5.0,1.0,1.0,0.0,0,True,85.7,1,0.0,0.0,1.0,147 days,1,6
119,4.14,5.0,4.601559291274655,2.5,0.0,100.0,1,False,0.0,0,1.0,0.0,0.0,1 days,1,1
120,2.67,4.9,4.3,1.06,0.0,11.1,3,True,88.9,0,1.0,0.0,0.0,128 days,1,5
121,5.55,4.8,4.9,1.0,1.0,0.0,2,True,41.2,1,0.0,0.0,1.0,159 days,1,6
122,1.58,5.0,5.0,1.0,1.0,0.0,0,False,0.0,1,0.0,1.0,0.0,157 days,1,6
123,1.78,5.0,5.0,1.0,0.0,0.0,0,True,33.3,0,1.0,0.0,0.0,68 days,1,4
124,6.1,4.8,5.0,1.0,1.0,0.0,0,True,100.0,1,0.0,0.0,1.0,135 days,1,6
125,8.14,4.6,4.4,1.32,1.0,20.0,0,True,90.0,0,0.0,0.0,1.0,65 days,1,3
126,6.04,4.5,5.0,1.0,0.0,0.0,2,False,100.0,0,1.0,0.0,0.0,1 days,1,1
127,2.92,5.0,4.0,1.38,0.0,50.0,2,True,0.0,1,0.0,0.0,1.0,160 days,1,6
128,2.81,4.3,4.8,1.3,1.0,20.0,0,False,20.0,0,1.0,0.0,0.0,84 days,1,4
129,2.0,5.0,5.0,1.0,1.0,0.0,3,False,0.0,0,0.0,0.0,1.0,1 days,1,1
130,7.4,5.0,4.5,1.0,0.0,0.0,0,True,0.0,0,1.0,0.0,0.0,114 days,1,5
131,1.2,4.0,5.0,1.0,0.0,0.0,0,False,100.0,0,1.0,0.0,0.0,74 days,1,3
132,2.64,5.0,5.0,1.0,1.0,0.0,0,True,100.0,1,0.0,1.0,0.0,132 days,1,6
133,3.33,4.8,3.8,1.06,1.0,25.0,2,True,37.5,1,0.0,0.0,1.0,171 days,1,6
134,2.88,5.0,5.0,1.0,0.8,0.0,0,False,100.0,1,0.0,1.0,0.0,152 days,1,6
135,1.99,5.0,4.601559291274655,1.75,1.0,100.0,1,False,100.0,0,0.0,0.0,1.0,1 days,1,1
136,3.22,4.5,4.9,1.0,1.0,0.0,4,False,43.8,1,0.0,0.0,1.0,160 days,1,6
137,13.78,5.0,5.0,1.0,1.0,0.0,1,False,100.0,0,0.0,0.0,1.0,1 days,1,1
138,8.2,5.0,4.601559291274655,1.0,1.0,0.0,0,True,0.0,0,1.0,0.0,0.0,144 days,1,5
139,10.47,4.6,4.4,1.0,1.0,0.0,4,True,45.5,1,0.0,1.0,0.0,146 days,1,6
140,2.27,5.0,5.0,1.0,1.0,0.0,2,True,16.7,1,0.0,1.0,0.0,141 days,1,6
141,1.68,4.7,3.8,1.06,0.0,8.3,3,False,41.7,0,0.0,0.0,1.0,144 days,1,5
142,3.57,4.8,4.5,1.1,1.0,10.0,1,True,10.0,1,0.0,1.0,0.0,150 days,1,6
143,11.63,4.8,5.0,1.0,1.0,0.0,2,False,40.0,1,0.0,1.0,0.0,157 days,1,6
